"Collection","Historian"
"Leo Steinberg research papers","Leo Steinberg"
"Leo Steinberg research papers","Leo Steinberg"
"Fondo Aby Warburg","Aby Warburg"
"Nachlass Ulrich Middeldorf","Ulrich Middeldorf"
"Nachlass Ulrich Middeldorf","Ulrich Middeldorf"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","Fritz Heinemann"
"Fototeca Fahy","Everett Fahy"
"Fototeca Fahy","Everett Fahy"
"Fototeca Julian Kliemann","Julian Kliemann"
"Fototeca Stefano Tumidei","Stefano Tumidei"
"Nachlass Werner Cohn","Werner Cohn"
"Nachlass Otto Lehmann-Brockhaus","Otto Lehmann-Brockhaus"
"Nachlass Otto Lehmann-Brockhaus","Otto Lehmann-Brockhaus"
"Nachlass Otto Lehmann-Brockhaus","Otto Lehmann-Brockhaus"
"Julius S. Held papers","Julius S. Held"
"Julius S. Held papers","Julius S. Held"
"Fototeca Zeri","Federico Zeri"
"Fototeca Zeri","Federico Zeri"
"Fototeca Zeri","Federico Zeri"
"Fototeca Zeri","Federico Zeri"
"Nachlass Kurt Badt","Kurt Badt"
"Ernst Kitzinger papers, 1931-1995","Ernst Kitzinger"
"Ernst Kitzinger papers, 1931-1995","Ernst Kitzinger"
"Ernst Kitzinger papers, 1931-1995","Ernst Kitzinger"
"Nachlass Ernst Steinmann","Ernst Steinmann"
"Nachlass Ernst Steinmann","Ernst Steinmann"
"Nachlass Ernst Steinmann","Ernst Steinmann"
"Nachlass Cornelius von Fabriczy","Kornél Fabriczy"
"Luigi Salerno research papers","Luigi Salerno"
"Archivio Luisa Vertova","Luisa Vertova"
"Gustav Ludwig-Vermächtnis","Gustav Ludwig"
"John Pope-Hennessy papers","John Pope-Hennessy"
"John Pope-Hennessy papers","John Pope-Hennessy"
"John Pope-Hennessy papers","John Pope-Hennessy"
"Battisti Eugenio (complex of fonds)","Eugenio Battisti"
"Ellis K. Waterhouse notebooks and research files","Ellis Waterhouse"
"Nachlass Richard Krautheimer","Richard Krautheimer"
"Nachlass Richard Krautheimer","Richard Krautheimer"
"Nachlass Richard Krautheimer","Richard Krautheimer"
"Ulrich Middledorf papers","Ulrich Middeldorf"
"Ulrich Middledorf papers","Ulrich Middeldorf"
"Nachlass Wolfgang Lotz","Wolfgang Lotz"
"Nachlass Wolfgang Lotz","Wolfgang Lotz"
"Venturi Adolfo (complex of fonds)","Adolfo Venturi"
