nameCountry,periodLabel
United States of America,14th century
United States of America,15th century
United States of America,16th century
United States of America,renaissance
Germany,renaissance
Germany,middle ages
Germany,16th century
Germany,baroque
Germany,17th century
Germany,early christian art and architecture
Germany,byzantine art
Russia,renaissance
Russia,modern art
Germany,mannerism
Germany,15th century
Italy,18th century
Italy,17th century
Italy,baroque
United States of America,17th century
Italy,16th century
Italy,15th century
Italy,neoclassicism
Italy,19th century
Italy,renaissance
Italy,romanticism
Germany,cold war
England,15th century
England,renaissance
Italy,middle ages
Italy,mannerism
Hungary,renaissance
England,baroque
England,mannerism
