Historian;Birthplace
Julius S. Held;Mosbach
Stefano Tumidei;Forl�
Stefano Tumidei;Forlì
Federico Zeri;            Rome
Federico Zeri; Rome
Federico Zeri;       Rome
Federico Zeri;Rome
Ernst Kitzinger;Munich
Otto Lehmann-Brockhaus;Unna
Ernst Steinmann;Jördenstorf
Luigi Salerno;            Rome
Luigi Salerno; Rome
Luigi Salerno;       Rome
Luigi Salerno;Rome
Werner Cohn;Berlin
Ulrich Middeldorf;Staßfurt
Gustav Ludwig;Nauheim
Adolfo Venturi;Modena
Eugenio Battisti;Turin
Aby Warburg;Hamburg
Ellis Waterhouse;Epsom
Wolfgang Lotz;Heilbronn
Kornél Fabriczy;Levoča
Richard Krautheimer;Fürth
John Pope-Hennessy;London
Kurt Badt;Berlin
Leo Steinberg;Moscow
