Country,Historian
Germany,Ernst Kitzinger
Germany,Wolfgang Lotz
Germany,Ulrich Middeldorf
Germany,Otto Lehmann-Brockhaus
Italy,Adolfo Venturi
Germany,Ernst Steinmann
Italy,Luigi Salerno
Germany,Richard Krautheimer
Germany,Aby Warburg
Germany,Werner Cohn
England,John Pope-Hennessy
Italy,Eugenio Battisti
Italy,Luisa Vertova
Italy,Federico Zeri
Germany,Julian Kliemann
Germany,Gustav Ludwig
Hungary,Kornél Fabriczy
Germany,Kurt Badt
United States of America,Everett Fahy
Italy,Stefano Tumidei
Germany,Fritz Heinemann
United States of America,Julius S. Held
England,Ellis Waterhouse
Russia,Leo Steinberg
