Historian,Collection
http://www.wikidata.org/entity/Q995470,https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy
http://www.wikidata.org/entity/Q1089074,https://w3id.org/artchives/collectionfototeca-zeri
http://www.wikidata.org/entity/Q61913691,https://w3id.org/artchives/collectionarchivio-luisa-vertova
http://www.wikidata.org/entity/Q1715096,https://w3id.org/artchives/collectionulrich-middledorf-papers
http://www.wikidata.org/entity/Q88907,https://w3id.org/artchives/collectionernst-kitzinger-papers-
http://www.wikidata.org/entity/Q3051533,https://w3id.org/artchives/collectionellis-k-waterhouse-notebooks-and-research-files
http://www.wikidata.org/entity/Q1715096,https://w3id.org/artchives/collectionnachlass-ulrich-middeldorf
http://www.wikidata.org/entity/Q2824734,https://w3id.org/artchives/collectionventuri-adolfo-complex-of-fonds
http://www.wikidata.org/entity/Q1712683,https://w3id.org/artchives/collectionjulius-s-held-papers
http://www.wikidata.org/entity/Q3057287,https://w3id.org/artchives/collectionnachlass-ernst-steinmann
http://www.wikidata.org/entity/Q1296486,https://w3id.org/artchives/collectionnachlass-wolfgang-lotz
http://www.wikidata.org/entity/Q55453618,https://w3id.org/artchives/collectionfototeca-stefano-tumidei
http://www.wikidata.org/entity/Q19997512,https://w3id.org/artchives/collectionfototeca-fahy
http://www.wikidata.org/entity/Q1641821,https://w3id.org/artchives/collectionnachlass-otto-lehmannbrockhaus
http://www.wikidata.org/entity/Q18935222,https://w3id.org/artchives/collectionnachlass-werner-cohn
http://www.wikidata.org/entity/Q6700132,https://w3id.org/artchives/collectionluigi-salerno-research-papers
http://www.wikidata.org/entity/Q41616785,https://w3id.org/artchives/collectiongustav-ludwigvermachtnis
http://www.wikidata.org/entity/Q60185,https://w3id.org/artchives/collectionfondo-aby-warburg
http://www.wikidata.org/entity/Q1271052,https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei
http://www.wikidata.org/entity/Q1629748,https://w3id.org/artchives/collectionnachlass-kurt-badt
http://www.wikidata.org/entity/Q90407,https://w3id.org/artchives/collectionnachlass-richard-krautheimer
http://www.wikidata.org/entity/Q1373290,https://w3id.org/artchives/collectionbattisti-eugenio-complex-of-fonds
http://www.wikidata.org/entity/Q457739,https://w3id.org/artchives/collectionleo-steinberg-research-papers
http://www.wikidata.org/entity/Q537874,https://w3id.org/artchives/collectionjohn-popehennessy-papers
http://www.wikidata.org/entity/Q85761254,https://w3id.org/artchives/collectionfototeca-julian-kliemann
