Historian;Birthplace
John Pope-Hennessy;London
Kornél Fabriczy;Levoča
Julius S. Held;Mosbach
Ernst Steinmann;Jördenstorf
Werner Cohn;Berlin
Wolfgang Lotz;Heilbronn
Eugenio Battisti;Turin
Ulrich Middeldorf;Staßfurt
Leo Steinberg;Moscow
Ellis Waterhouse;Epsom
Kurt Badt;Berlin
Richard Krautheimer;Fürth
Gustav Ludwig;Nauheim
Stefano Tumidei;Forl�
Stefano Tumidei;Forlì
Otto Lehmann-Brockhaus;Unna
Luigi Salerno;Rome
Federico Zeri;Rome
Ernst Kitzinger;Munich
Aby Warburg;Hamburg
Adolfo Venturi;Modena
